company,market_cap,country,region,commitment_and_governance_score,traceability_and_risk_assessment_score,purchasing_practices_score,recruitment_score,worker_voice_score,monitoring_score,remedy_score,score_2020
Amazon.com Inc., 805 ,United States,North America,62,88,22,36,12,40,44,43
Amphenol Corp., 28 ,United States,North America,40,25,4,26,8,0,6,16
Analog Devices Inc., 34 ,United States,North America,48,25,26,26,11,10,19,24
Apple Inc., 852 ,United States,North America,83,81,30,74,63,85,56,68
Applied Materials Inc., 56 ,United States,North America,59,38,9,39,4,15,19,26
ASML Holding NV, 87 ,Netherlands,Europe,52,6,9,26,14,5,13,18
Best Buy Co. Inc.,21,United States,North America,75,94,35,33,15,65,50,52
BOE Technology Group Co. Ltd., 33 ,China,Asia,2,0,25,0,0,5,0,5
Broadcom Inc., 102 ,United States,North America,33,19,4,0,7,5,0,10
Canon Inc., 43 ,Japan,Asia,42,25,21,0,7,5,0,14
Cisco Systems Inc., 205 ,United States,North America,69,75,13,43,14,65,75,51
Corning Inc., 27 ,United States,North America,67,25,53,33,7,35,38,37
Dell Technologies Inc.,39,United States,North America,73,63,34,63,47,75,88,63
Hangzhou Hikvision Digital Technology Co. Ltd.,59,China,Asia,20,0,0,0,0,0,0,3
Hewlett Packard Enterprise Co. (HPE), 26 ,United States,North America,90,81,48,78,31,75,88,70
Hexagon AB,21,Sweden,Europe,25,0,17,0,0,5,13,8
Hitachi Ltd., 38 ,Japan,Asia,67,13,17,26,8,45,13,27
Hon Hai Precision Industry Co. Ltd. (Foxconn), 55 ,Taiwan,Asia,50,19,17,26,3,45,38,28
Hoya Corp., 19 ,Japan,Asia,43,0,22,0,7,5,13,13
HP Inc., 38 ,United States,North America,98,88,56,78,25,75,66,69
Infineon Technologies AG, 33 ,Germany,Europe,38,6,21,0,0,0,0,9
Intel Corp., 225 ,United States,North America,93,88,52,73,33,75,63,68
Keyence Corp., 74 ,Japan,Asia,33,6,0,0,0,0,0,6
Kyocera Corp., 24 ,Japan,Asia,34,25,4,10,0,0,0,10
Lam Research Corp., 31 ,United States,North America,43,19,21,26,4,15,6,19
Largan Precision Co. Ltd., 18 ,Taiwan,Asia,20,0,0,0,0,0,0,3
Microchip Technology Inc., 22 ,United States,North America,25,25,9,0,0,5,0,9
Micron Technology Inc., 51 ,United States,North America,70,56,21,39,14,55,31,41
Microsoft Corp., 732 ,United States,North America,75,81,56,36,47,65,56,59
Murata Manufacturing Co. Ltd., 31 ,Japan,Asia,50,0,21,26,4,5,19,18
Nintendo Co. Ltd., 53 ,Japan,Asia,44,31,9,18,3,35,19,23
Nokia Oyj, 27 ,Finland,Europe,72,63,19,23,10,55,75,45
NVIDIA Corp., 149 ,United States,North America,67,25,8,26,8,45,38,31
NXP Semiconductors NV, 41 ,Netherlands,Europe,70,94,22,59,33,70,63,58
Panasonic Corp.,35,Japan,Asia,35,0,26,14,8,5,6,13
Qualcomm Inc., 101 ,United States,North America,67,19,35,26,15,55,38,36
Samsung Electronics Co. Ltd., 310 ,South Korea,Asia,93,69,69,66,32,80,75,69
SK Hynix Inc., 49 ,South Korea,Asia,54,0,21,0,4,10,6,14
Skyworks Solutions Inc., 18 ,United States,North America,49,31,9,26,8,45,38,29
Sony Corp.,60,Japan,Asia,62,63,26,30,11,25,38,36
STMicroelectronics NV,21,Switzerland,Europe,51,44,26,33,14,25,19,30
Taiwan Semiconductor Manufacturing Co. Ltd., 227 ,Taiwan,Asia,58,56,8,36,8,15,38,31
TE Connectivity Ltd., 36 ,Switzerland,Europe,48,19,4,4,10,10,31,18
Telefonaktiebolaget LM Ericsson (publ), 21 ,Sweden,Europe,77,75,35,33,14,75,75,55
Texas Instruments Inc., 108 ,United States,North America,62,56,13,26,11,15,38,32
Tokyo Electron Ltd., 31 ,Japan,Asia,51,0,21,26,8,5,0,16
Walmart Inc., 316 ,United States,North America,75,38,26,53,28,55,50,46
Western Digital Corp., 26 ,United States,North America,51,6,0,26,4,10,6,15
Xiaomi Corp.,37,China,Asia,0,0,0,0,0,0,0,0
